"Gemeenten";"Gemiddeld aardgasverbruik appartement|2017";"Gemiddeld aardgasverbruik appartement|2018";"Gemiddeld aardgasverbruik appartement|2019";"Gemiddeld aardgasverbruik appartement|2020";"Gemiddeld aardgasverbruik appartement|2021";"Gemiddeld aardgasverbruik tussenwoning|2017";"Gemiddeld aardgasverbruik tussenwoning|2018";"Gemiddeld aardgasverbruik tussenwoning|2019";"Gemiddeld aardgasverbruik tussenwoning|2020";"Gemiddeld aardgasverbruik tussenwoning|2021";"Gemiddeld aardgasverbruik hoekwoning|2017";"Gemiddeld aardgasverbruik hoekwoning|2018";"Gemiddeld aardgasverbruik hoekwoning|2019";"Gemiddeld aardgasverbruik hoekwoning|2020";"Gemiddeld aardgasverbruik hoekwoning|2021";"Gemiddeld aardgasverbruik vrijstaande woning|2017";"Gemiddeld aardgasverbruik vrijstaande woning|2018";"Gemiddeld aardgasverbruik vrijstaande woning|2019";"Gemiddeld aardgasverbruik vrijstaande woning|2020";"Gemiddeld aardgasverbruik vrijstaande woning|2021";"Gemiddeld aardgasverbruik alle woningen|2017";"Gemiddeld aardgasverbruik alle woningen|2018";"Gemiddeld aardgasverbruik alle woningen|2019";"Gemiddeld aardgasverbruik alle woningen|2020";"Gemiddeld aardgasverbruik alle woningen|2021";"Totaal aardgasverbruik woningen|2017";"Totaal aardgasverbruik woningen|2018";"Totaal aardgasverbruik woningen|2019";"Totaal aardgasverbruik woningen|2020";"Totaal aardgasverbruik woningen|2021"
"Ede";850;850;660;660;720;1120;1110;1020;940;1040;1350;1340;1230;1140;1260;2440;2460;2290;2070;2290;1350;1370;1230;1130;1240;63,1;61,7;56,1;52,1;58,4
"Eemnes";840;800;720;780;790;1320;1310;1210;1150;1310;1590;1570;1440;1360;1550;2400;2400;2210;2180;2460;1530;1540;1410;1310;1480;5,3;5,5;5,2;4,9;5,7
"Eemsdelta";980;990;920;860;1010;1390;1400;1310;1260;1360;1570;1590;1480;1420;1480;2000;2060;1890;1840;2050;1530;1570;1450;1410;1540;32,8;33,8;31,3;30,4;33,5
"Eersel";900;920;810;980;1110;1240;1240;1160;1070;1200;1380;1390;1280;1200;1340;2290;2300;2140;1980;2180;1620;1660;1530;1430;1600;12,2;12,6;11,9;11,3;12,8
"Eijsden-Margraten";990;990;920;960;1140;1520;1510;1400;1290;1460;1690;1670;1550;1440;1620;2410;2380;2200;2030;2270;1740;1760;1630;1510;1720;18,0;18,5;17,2;16,1;18,4
"Eindhoven";840;840;740;720;750;1290;1290;1200;1120;1250;1550;1540;1430;1330;1480;2400;2360;2190;2000;2200;1190;1210;1100;1040;1140;120,1;124,0;115,2;110,6;122,4
"Elburg";880;870;820;890;1050;1290;1270;1190;1130;1260;1460;1440;1350;1290;1410;2300;2280;2080;1940;2140;1500;1510;1400;1310;1460;12,9;13,1;12,2;11,6;13,2
"Emmen";970;940;870;840;940;1390;1390;1280;1210;1340;1580;1580;1470;1380;1540;2200;2190;2010;1890;2120;1570;1570;1450;1370;1530;71,8;72,2;66,9;63,6;71,1
"Enkhuizen";780;780;730;710;820;1210;1240;1150;1090;1270;1430;1450;1340;1270;1470;1900;1950;1800;1720;1960;1220;1250;1150;1100;1270;10,0;10,2;9,5;9,2;10,6
"Enschede";730;720;660;660;750;1080;1080;1010;970;1090;1330;1320;1230;1170;1320;2180;2160;2000;1860;2090;1120;1150;1060;1020;1150;78,5;79,4;74,6;72,1;82,3
"Epe";950;920;880;880;970;1370;1350;1250;1170;1290;1560;1540;1430;1340;1490;2500;2480;2290;2170;2380;1710;1710;1590;1490;1640;22,8;22,9;21,4;20,5;22,7
"Ermelo";820;820;790;810;900;1260;1240;1140;1070;1200;1450;1420;1310;1230;1360;2430;2380;2200;2040;2300;1550;1520;1410;1330;1480;15,8;15,7;14,6;13,9;15,8
"Etten-Leur";680;680;650;650;730;1210;1220;1140;1070;1140;1410;1420;1330;1240;1330;2240;2240;2070;1900;2090;1340;1320;1230;1150;1250;23,3;23,2;21,9;20,7;22,4
